Location Title,Latitude {N+/S-},Longitude {E+/W-},TimeZone {+/- GMT},Elevation {m}
LOCATION_Santa Maria_RS_BRA_INMET_839360,-29.68,-53.81,-3.0,95.0
Number of Design Conditions,Title of Design Condition,
0
Number of Typical/Extreme Periods,Period Name,Period Type,Period Start Day,Period End Day,<repeat to # periods>
6,Summer - Week Nearest Max Temperature For Period,Extreme,1/29,2/ 4,Summer - Week Nearest Average Temperature For Period,Typical,1/22,1/28,Winter - Week Nearest Min Temperature For Period,Extreme,8/26,9/ 1,Winter - Week Nearest Average Temperature For Period,Typical,7/22,7/28,Autumn - Week Nearest Average Temperature For Period,Typical,5/20,5/26,Spring - Week Nearest Average Temperature For Period,Typical,12/ 3,12/ 9
Number of Ground Temperature Depths,Ground Temperature Depth {m},Soil Conductivity {W/m-K},Soil Density {kg/m3},Soil Specific Heat {J/kg-K},Jan {C},Feb{C},Mar {C},Apr {C},May {C},Jun {C},Jul {C},Aug {C},Sep {C},Oct {C},Nov {C},Dec {C},<repeat to Number of temperature depths>
3,.5,,,,23.78,24.17,23.29,21.96,18.56,15.97,14.27,13.80,14.78,16.85,19.57,22.05,2,,,,22.07,22.85,22.63,21.92,19.62,17.58,15.98,15.15,15.39,16.58,18.46,20.43,4,,,,20.64,21.47,21.62,21.34,20.03,18.65,17.40,16.55,16.38,16.91,18.02,19.36
Leap Year Observed?,Daylight Saving Start Date,Daylight Saving End Date,Number of Holidays,Holiday Name,Holiday Date,<repeat for # Holidays>
No,0,0,0
Comment Line #1
INMET Arquivo elaborado por M.Roriz - ANTAC - GT Conforto e Energia; Dados básicos registrados pelo INMET (2001-2010);
Comment Line #2
 -- Ground temps produced with a standard soil diffusivity of 2.3225760E-03 {m**2/day}
Number of Data Periods [DP],Number of Intervals per Hour,DP Name/Description,DP Start Day of Week,DP Start Day, DP End Day,<repeat to # Data Periods>
1,1,Data,Sunday,1/ 1,12/31
Date,HH:MM,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},HorzIRSky {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,Precip Wtr {mm},Aerosol Opt Depth {.001},SnowDepth {cm},Days Last Snow,Albedo {.01},Rain {mm},Rain Quantity {hr}
Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr},temp_fut_suavizado,mes
2003/1/1,01:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*_*9*9,17.772123655660735,21.9,89,99810,0,0,395,0,0,0,0,0,0,0,147,2.0,5,5,999.0,999,9,'999999999,0,0.0,0,88,999.0,0.0,1.0,17.772123655660735,1
2003/1/1,02:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*_*9*9,19.942407765961136,21.6,89,99800,0,0,393,0,0,0,0,0,0,0,124,0.8,5,5,999.0,999,9,'999999999,0,0.0,0,88,999.0,0.0,1.0,19.942407765961136,1
2003/1/1,03:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*_*9*9,20.866575175394917,21.6,90,99790,0,0,392,0,0,0,0,0,0,0,116,0.9,5,5,999.0,999,9,'999999999,0,0.0,0,88,999.0,0.0,1.0,20.866575175394917,1
2003/1/1,04:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*_*9*9,19.24321633634648,21.5,89,99810,0,0,392,0,0,0,0,0,0,0,114,1.3,5,5,999.0,999,9,'999999999,0,0.0,0,88,999.0,0.0,1.0,19.24321633634648,1
2003/1/1,05:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*_*9*9,18.41452475655165,21.3,91,99830,0,0,389,0,0,0,0,0,0,0,105,1.3,5,5,999.0,999,9,'999999999,0,0.0,0,88,999.0,0.0,1.0,18.41452475655165,1
2003/1/1,06:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*_*9*9,23.32970030853133,20.9,89,99840,274,53,388,4,0,4,0,0,0,0,126,0.9,5,5,999.0,999,9,'999999999,0,0.0,0,88,999.0,0.0,1.0,23.32970030853133,1
2003/1/1,07:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*_*9*9,25.568391327218784,21.5,89,99900,566,227,392,69,1,68,7686,68,7611,2521,149,1.7,5,5,999.0,999,9,'999999999,0,0.0,0,88,999.0,0.0,1.0,25.568391327218784,1
2003/1/1,08:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*_*9*9,22.346359059609888,21.7,85,99950,839,498,398,117,1,115,13309,71,13136,4619,109,1.0,5,5,999.0,999,9,'999999999,0,0.0,0,88,999.0,0.0,1.0,22.346359059609888,1
2003/1/1,09:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*_*9*9,24.293666613049037,21.8,80,99930,1073,815,404,290,11,275,31976,951,30479,9703,109,1.5,5,5,999.0,999,9,'999999999,0,0.0,0,88,999.0,0.0,1.0,24.293666613049037,1
2003/1/1,10:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*_*9*9,23.26361527413289,21.5,71,99950,1252,1109,412,514,93,409,57509,8975,46616,16955,156,1.7,5,5,999.0,999,9,'999999999,0,0.0,0,88,999.0,0.0,1.0,23.26361527413289,1
2003/1/1,11:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*_*9*9,22.779191363052917,21.7,68,99950,1365,1319,418,786,386,386,85661,37274,46240,14914,216,1.9,5,5,999.0,999,9,'999999999,0,0.0,0,88,999.0,0.0,1.0,22.779191363052917,1
